smiles,cid,rat_vi,GHS_Category
CC(=O)CCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O,3824.0,315.0,4
CC(=O)N(C)C,31374.0,2640.0,5
CC(=O)N(C)c1ccc(OCC(O)CNC(C)C)cc1,42378.0,148.0,3
CC(=O)N(CC(C)C(=O)O)c1c(I)cc(I)c(N)c1I,27648.0,700.0,4
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,2973.0,329.0,4
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN.CS(=O)(=O)O,62881.0,330.0,4
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,47576.0,86.0,3
CC(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C=O)CCCN=C(N)N,439527.0,80.0,3
CC(=O)NC(CCC(N)=O)C(=O)[O-].CC(=O)NC(CCC(N)=O)C(=O)[O-].CC(=O)NC(CCC(N)=O)C(=O)[O-].CC(=O)NC(CCC(N)=O)C(=O)[O-].CC(=O)NC(CCC(N)=O)C(=O)[O-].[Al+3].[Al+3].[Al+3].[OH-].[OH-].[OH-].[OH-],10463869.0,400.0,4
CC(=O)NC(CCc1ccc(N)cc1)c1ccc(N)cc1,28680.0,56.0,3
CC(=O)NC(CS)C(=O)O,12035.0,1140.0,4
CC(=O)NC(CS)C(=O)[O-].[Na+],23678798.0,2550.0,5
CC(=O)NC(CS)C(N)=O,82333.0,1870.0,4
CC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,3059332.0,300.0,3
CC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(N)=O,3059348.0,300.0,3
CC(=O)NC1C(O)CC(O)(C(=O)[O-])OC1C(O)C(O)CO.[Na+],23662231.0,5000.0,5
CC(=O)NC1C(O)OC(CO)C(OS(=O)(=O)O)C1OC1OC(C(=O)O)C(O)C(O)C1O,32756.0,2000.0,4
CC(=O)NC1C(O)OC(OS(=O)(=O)O)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,24766.0,3125.0,5
CC(=O)NCCCc1ccc(OCC(O)CNC(C)C)cc1,42377.0,99.0,3
CC(=O)NCCc1ccc(OCC(O)CNC(C)C)cc1,37060.0,88.0,3
CC(=O)NCc1ccc(OCC(O)CNC(C)C)cc1,36711.0,90.0,3
CC(=O)NNC(=O)c1ccccn1,28545.0,470.0,4
CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I.CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)[O-])c1I.CNCC(O)C(O)C(O)C(O)CO.[Na+],23667634.0,29.2,2
CC(=O)Nc1c(I)cc(I)c(OCCOC(C)C(=O)O)c1I,211241.0,1480.0,4
CC(=O)Nc1ccc(C(=O)O)cc1.CC(=O)Nc1ccc(C(=O)O)cc1.CC(=O)Nc1ccc(C(=O)O)cc1.CC(O)CN(C)C.CC(O)CN(C)C.CC(O)CN(C)C.O=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O,135449284.0,1970.0,4
CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,4883.0,130.0,3
CC(=O)Nc1ccc(S(=O)(=O)[O-])c2cc(S(=O)(=O)[O-])c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)[O-])cc4)c4ccc(S(=O)(=O)[O-])cc34)c(O)c12.[Na+].[Na+].[Na+].[Na+],17293.0,2500.0,5
CC(=O)O.CC(=O)O.CC(C)CC(NC(=O)CNC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1c[nH]cn1)NC(=O)C1CCC(=O)N1)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NCC(N)=O,56841073.0,154.0,3
CC(=O)O.CC(C)CC(NC(=O)CNC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1c[nH]cn1)NC(=O)C1CCC(=O)N1)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NCC(N)=O,11980076.0,203.0,3
CC(=O)O.CC(C)N=C(N)N=C(N)Nc1ccc(Cl)cc1,9570737.0,40.0,2
CC(=O)O.CC(O)C(CO)NC(=O)C1CSSCC(NC(=O)C(N)Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)N1,6917964.0,18.1,2
