smiles,cid,mouse_vo,GHS_Category
Br.N=C1OC(c2ccccc2)C2CCCCN12,200065.0,190.0,3
Br.N=c1ccn(CC=Cc2ccccc2)cc1,6445350.0,187.0,3
Br.N=c1ccn(CCc2ccccc2)c2ccccc12,212102.0,300.0,3
Br.NC(=O)CCNCCS,3079261.0,2000.0,4
Br.NC(C(=O)NC(=O)CNc1ccc(Cl)cc1C(=O)c1ccccc1)c1ccccc1,3059412.0,1000.0,4
Br.NC1=NCC2c3ccccc3Cc3ccccc3N12,3061907.0,325.0,4
Br.NC1Cc2cc(O)c(O)cc2Sc2ccccc21,3045602.0,500.0,4
Br.NCC(=O)NC(=O)CNc1ccc([N+](=O)[O-])cc1C(=O)c1ccccc1,3059340.0,1000.0,4
Br.NCC(=O)NCC(=O)Nc1ccccc1C(=O)c1ccc([N+](=O)[O-])cc1Cl,53477.0,750.0,4
Br.NCCc1ccc(O)c(F)c1,3087244.0,130.0,3
Br.NCc1ccccc1Sc1ccc(O)c(O)c1,3080330.0,883.0,4
Br.Nc1[nH]ncc1-c1ccc(O)cc1,24841367.0,600.0,4
Br.O=C(CCCN1CCCC1)c1csc2ccccc12,3046057.0,760.0,4
Br.O=C(CCCN1CCCCC1)c1csc2ccccc12,3046059.0,850.0,4
Br.O=C(CCCN1CCCCCC1)c1csc2ccccc12,3046061.0,950.0,4
Br.O=C(CCCN1CCOCC1)c1ccsc1,208051.0,600.0,4
Br.O=C(CCCN1CCOCC1)c1csc2ccccc12,3046064.0,1000.0,4
Br.O=C(CSC1=NCCN1)c1ccc(Cl)c(Cl)c1,36648.0,560.0,4
Br.O=C(c1ccccc1)C(CCN1CCCCC1)(c1ccccc1)c1ccccc1,3027856.0,1125.0,4
Br.O=C1C=CCC2C3CCCN4CCCC(CN12)C34,3060327.0,298.0,3
Br.O=C1CCCC1CN1CCN(c2cccc(C(F)(F)F)c2)CC1,3051830.0,975.0,4
Br.O=C1CCCCC1CN1CCN(c2ccc(F)c(C(F)(F)F)c2)CC1,3051840.0,937.0,4
Br.O=C1CCCCC1CN1CCN(c2cccc(C(F)(F)F)c2)CC1,3051823.0,1825.0,4
Br.O=C1CCCCCC1CN1CCN(c2cccc(C(F)(F)F)c2)CC1,3051836.0,1950.0,4
Br.O=c1[nH]oc2c1CCNC2,198486.0,320.0,4
Br.OCC(O)CN1CCN(c2ccc(F)c(C(F)(F)F)c2)CC1,3051844.0,925.0,4
Br.OCCN1CCN(c2ccc(F)c(C(F)(F)F)c2)CC1,3051838.0,844.0,4
Br.Oc1ccc(CCN2CCC(c3ccc(Cl)cc3)CC2)cc1O,204006.0,4000.0,5
Br.c1ccc2c(OCCN3CCOCC3)[nH]nc2c1,215736.0,615.0,4
BrBr,24408.0,3100.0,5
BrC(=NNc1ccc(Br)cc1Br)c1ccccc1,9570113.0,1700.0,4
BrC(Br)Br,5558.0,1072.0,4
BrC(Br)C(Br)Br,6588.0,269.0,3
BrC=C(Br)Br,11712.0,1100.0,4
BrCC=CCBr,641245.0,29.0,2
BrCCCBr.CN(C)CCCCCCN(C)C,24769.0,1000.0,4
Br[Hg]Br,24612.0,35.0,2
Br[Te]1(Br)C(c2ccccc2)=Nc2ccccc21,3088544.0,400.0,4
Brc1c(NC2=NCCN2)ccc2nccnc12,2435.0,160.0,3
Brc1ccc(Br)cc1,7804.0,3120.0,5
Brc1ccc(C2(c3ccccc3)OC2n2ccnc2)c(Br)c1,3061576.0,1000.0,4
Brc1ccc(C=NOCCN2CCOCC2)cc1.Cl,9570689.0,1450.0,4
